Country,Weight,LanguageLearningTime,MathLearningTime,ScienceLearningTime,LanguageClassTime,MathClassTime,ScienceClassTime,ICTResources,LanguageScore,MathScore,ScienceScore,ICTResourcesClass
Costa Rica,21643.8706,188.130425387,206.178283495,203.267190851,39.9162452995,39.9282352483,39.914531484,-1.09427050867,443.022619028,411.123098038,434.215950964,C
Croatia,29727.6385,164.499277987,147.412712954,182.879585289,45.0,45.0,45.0,-0.294564298977,485.260742467,472.430783428,492.737617791,B
Czech Republic,47723.2058,178.972905429,182.346010722,217.007214823,44.9049439277,44.9191283646,44.7884678883,0.0506288270349,501.035745112,508.626500996,516.43051859,B
Denmark,38194.7781,313.563651477,223.159149889,176.582722409,51.7475741298,51.1226351934,52.7101151322,0.853889075481,506.302905815,508.524850573,509.340191524,A
Estonia,7491.6064,198.195392313,222.684179657,195.764450132,45.0,45.0,45.0,0.217861279925,518.137451678,522.360287368,542.625542599,A
Finland,35469.1142,151.404063418,174.518448014,187.717135315,49.1262199551,49.1262199551,49.1851673251,0.174866429706,531.072906036,525.148340987,552.462780272,B
Florida (USA),107556.8325,247.50623423,250.059940889,237.185522155,64.8204656733,65.2988836548,65.1425027471,-0.00622146352255,498.647922785,472.381176172,490.684408138,B
France,343825.0299,215.391313693,208.902497695,172.900341707,59.0387115557,58.3018990931,66.1303448839,0.0420881834438,522.595189614,510.040467145,515.735478759,B
Germany,362442.577,189.741514921,195.356581844,254.207608041,49.454569809,49.5938111921,49.1843769638,0.275875187564,527.810304603,532.940871834,544.335495774,A
Greece,20031.7989,172.074449759,212.268023293,238.95934135,43.9731977391,44.0925797483,43.9640310936,-0.368236222409,529.776856938,498.630926908,510.933268919,B
Hong Kong-China,38606.9349,278.439049677,267.081564732,236.329956984,42.292503086,42.2226713056,42.6202213323,-0.0758381077541,551.858510815,571.354705015,564.161738757,B
